;ID.SENTENÇA;SENTENÇA;ARG1;REL;ARG2;subordinada;;AVALIADOR.3;AVALIADOR.2;AVALIADOR.1;VOTO.COERENTE;VOTO.INCOERENTE;COERENCIA.FINAL;dptOIE;stanford;orange;mquni;lys;sistemas
30;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) ;;1;1;1;3;0;1;1;1;1;1;0;stanford, orange, mquni, dptoie
31;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro ;;0;1;0;1;2;0;1;1;1;1;0;stanford, orange, mquni, dptoie
32;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro ;;1;1;1;3;0;1;1;1;1;1;0;stanford, orange, mquni, dptoie
33;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de janeiro ;;0;1;0;1;2;0;1;1;1;1;0;stanford, orange, mquni, dptoie
34;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ en o bairro de a Penha ( zona leste ) ;;0;0;0;0;3;0;0;0;0;1;0;mquni
35;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ en o bairro en os meses de dezembro e janeiro ;;0;0;0;0;3;0;0;0;0;1;0;mquni
36;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ en os meses de dezembro e janeiro ;;0;0;0;0;3;0;0;0;1;0;0;orange
37;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil ;;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie
38;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes ;;0;0;0;0;3;0;0;0;0;1;0;mquni
39;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta ( zona leste ) ;;0;1;1;2;1;1;0;0;1;0;0;orange
40;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo ;;1;1;1;3;0;1;1;1;0;1;0;stanford, mquni, mquni, dptoie
41;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ;;1;1;1;3;0;1;1;0;1;0;0;orange, orange, dptoie
42;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) ;;1;1;1;3;0;1;1;1;1;1;0;stanford, orange, mquni, dptoie
43;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro ;;0;1;0;1;2;0;1;1;1;1;0;stanford, orange, mquni, dptoie
44;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro ;;1;1;1;3;0;1;1;1;1;1;0;stanford, orange, mquni, dptoie
45;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de janeiro ;;0;1;0;1;2;0;1;1;1;1;0;stanford, orange, mquni, dptoie
46;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ en o bairro de a Penha ( zona leste ) ;;0;0;0;0;3;0;0;0;0;1;0;mquni
47;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ en o bairro en os meses de dezembro e janeiro ;;0;0;0;0;3;0;0;0;0;1;0;mquni
48;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ en os meses de dezembro e janeiro ;;0;0;0;0;3;0;0;0;1;0;0;orange
49;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil ;;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie
50;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes ;;0;0;0;0;3;0;0;0;0;1;0;mquni
51;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta ( zona leste ) ;;0;1;1;2;1;1;0;0;1;0;0;orange
52;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo ;;1;1;1;3;0;1;1;1;0;1;0;stanford, mquni, dptoie
53;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ;;1;1;1;3;0;1;1;0;1;0;0;orange, dptoie
54;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) ;;1;1;1;3;0;1;1;1;1;1;0;stanford, orange, mquni, dptoie
55;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro ;;0;1;0;1;2;0;1;1;1;1;0;stanford, orange, mquni, dptoie
56;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro ;;1;1;1;3;0;1;1;1;1;1;0;stanford, orange, mquni, dptoie
57;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de janeiro ;;0;1;0;1;2;0;1;1;1;1;0;stanford, orange, mquni, dptoie
58;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ en o bairro de a Penha ( zona leste ) ;;0;0;0;0;3;0;0;0;0;1;0;mquni
59;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ en o bairro en os meses de dezembro e janeiro ;;0;0;0;0;3;0;0;0;0;1;0;mquni
60;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ en os meses de dezembro e janeiro ;;0;0;0;0;3;0;0;0;1;0;0;orange
61;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil ;;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie
62;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes ;;0;0;0;0;3;0;0;0;0;1;0;mquni
63;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta ( zona leste ) ;;0;1;1;2;1;1;0;0;1;0;0;orange
64;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo ;;1;1;1;3;0;1;1;1;0;1;0;stanford, mquni, dptoie
65;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ;;1;1;1;3;0;1;1;0;1;0;0;orange, dptoie
66;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) ;;1;1;1;3;0;1;1;1;1;1;0;stanford, orange, mquni, dptoie
67;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro ;;0;1;0;1;2;0;1;1;1;1;0;stanford, orange, mquni, dptoie
68;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro ;;1;1;1;3;0;1;1;1;1;1;0;stanford, orange, mquni, dptoie
69;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;O diretor - presidente de a Splice ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de janeiro ;;0;1;0;1;2;0;1;1;1;1;0;stanford, orange, mquni, dptoie
