"";"ID.SENTENÇA";"SENTENÇA";"ARG1";"REL";"ARG2";"COERÊNCIA";"subordinada";"sistemas"
"29";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ";"orange, orange, dptoie"
"30";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) ";"stanford, orange, mquni, dptoie"
"31";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro ";"stanford, orange, mquni, dptoie"
"32";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro ";"stanford, orange, mquni, dptoie"
"33";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de janeiro ";"stanford, orange, mquni, dptoie"
"34";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ en o bairro de a Penha ( zona leste ) ";"mquni"
"35";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ en o bairro en os meses de dezembro e janeiro ";"mquni"
"36";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ en os meses de dezembro e janeiro ";"orange"
"37";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil ";"stanford, orange, mquni, lys, dptoie"
"38";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes ";"mquni"
"39";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta ( zona leste ) ";"orange"
"40";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo ";"stanford, mquni, mquni, dptoie"
"41";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ";"orange, orange, dptoie"
"42";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) ";"stanford, orange, mquni, dptoie"
"43";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro ";"stanford, orange, mquni, dptoie"
"44";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro ";"stanford, orange, mquni, dptoie"
"45";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de janeiro ";"stanford, orange, mquni, dptoie"
"46";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ en o bairro de a Penha ( zona leste ) ";"mquni"
"47";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ en o bairro en os meses de dezembro e janeiro ";"mquni"
"48";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"Antonio Beldi ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ en os meses de dezembro e janeiro ";"orange"
"49";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil ";"stanford, orange, mquni, lys, dptoie"
"50";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes ";"mquni"
"51";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta ( zona leste ) ";"orange"
"52";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo ";"stanford, mquni, dptoie"
"53";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ";"orange, dptoie"
"54";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) ";"stanford, orange, mquni, dptoie"
"55";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro ";"stanford, orange, mquni, dptoie"
"56";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro ";"stanford, orange, mquni, dptoie"
"57";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de janeiro ";"stanford, orange, mquni, dptoie"
"58";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ en o bairro de a Penha ( zona leste ) ";"mquni"
"59";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ en o bairro en os meses de dezembro e janeiro ";"mquni"
"60";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"ontem que ";"";"a prefeitura  /   ainda não pagou /  os US $ en os meses de dezembro e janeiro ";"orange"
"61";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil ";"stanford, orange, mquni, lys, dptoie"
"62";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes ";"mquni"
"63";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta ( zona leste ) ";"orange"
"64";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo ";"stanford, mquni, dptoie"
"65";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ";"orange, dptoie"
"66";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) ";"stanford, orange, mquni, dptoie"
"67";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro ";"stanford, orange, mquni, dptoie"
"68";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro ";"stanford, orange, mquni, dptoie"
"69";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de janeiro ";"stanford, orange, mquni, dptoie"
"70";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ en o bairro de a Penha ( zona leste ) ";"mquni"
"71";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ en o bairro en os meses de dezembro e janeiro ";"mquni"
"72";65;"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ";"O diretor - presidente de a Splice ";" afirmou";"que ";"";"a prefeitura  /   ainda não pagou /  os US $ en os meses de dezembro e janeiro ";"orange"
"73";74;"Esta é a primeira vez desde 1930 que os EUA conseguem avançar além de a fase inicial de um campeonato mundial de futebol . ";"Esta ";" é a primeira vez";"desde 1930 que ";"";"os EUA  /   conseguem /  avançar além de a fase inicial de um campeonato mundial de futebol ";"orange"
"74";74;"Esta é a primeira vez desde 1930 que os EUA conseguem avançar além de a fase inicial de um campeonato mundial de futebol . ";"Esta ";" é a primeira vez";"que ";"";"os EUA  /   conseguem /  avançar além de a fase inicial de um campeonato mundial de futebol ";"orange"
"75";76;"Ela afirma que as escolas e as pessoas não podem ficar imunes a a tecnologia . ";"Ela ";" afirma";"que ";"";"as escolas  /   não podem ficar /  imunes a a tecnologia ";"orange, lys"
"76";76;"Ela afirma que as escolas e as pessoas não podem ficar imunes a a tecnologia . ";"Ela ";" afirma";"que ";"";"as escolas e as pessoas  /   não podem ficar /  imunes a a tecnologia ";"stanford, mquni, dptoie"
